,district,neighborhood,poverty_rate,borough,population,rent_burdened,low_rent,high_rent,minority_rate
0,BK 01,Greenpoint/Williamsburg,23.3,Brooklyn,173083,52.8,30.8,33.6,37.0
1,BK 02,Fort Greene/Brooklyn Heights,14.9,Brooklyn,99617,41.55,25.08,47.02,53.6
2,BK 03,Bedford Stuyvesant,24.4,Brooklyn,152985,56.05,35.65,18.4,74.0
3,BK 04,Bushwick,27.1,Brooklyn,112634,56.73,18.9,38.93,81.1
4,BK 05,East New York/Starrett City,24.7,Brooklyn,182896,57.53,35.87,14.73,96.3
5,BK 06,Park Slope/Carroll Gardens,7.8,Brooklyn,104709,40.7,17.4,57.0,35.9
6,BK 07,Sunset Park,22.1,Brooklyn,126230,52.9,22.13,29.0,75.6
7,BK 08,Crown Heights/Prospect Heights,20.0,Brooklyn,96317,48.25,25.8,34.15,77.7
8,BK 09,South Crown Heights/Lefferts Gardens,19.1,Brooklyn,98429,58.4,33.55,11.8,77.2
9,BK 10,Bay Ridge/Dyker Heights,15.2,Brooklyn,124491,52.7,19.85,24.55,45.4
10,BK 11,Bensonhurst,17.3,Brooklyn,181981,56.07,28.73,13.37,59.8
11,BK 12,Borough Park,30.8,Brooklyn,191382,64.23,21.97,26.93,28.9
12,BK 13,Coney Island,24.8,Brooklyn,104278,56.85,43.22,8.43,44.1
13,BK 14,Flatbush/Midwood,16.8,Brooklyn,160664,58.5,26.3,16.3,59.2
14,BK 15,Sheepshead Bay,14.0,Brooklyn,159650,55.07,28.8,14.87,34.5
15,BK 16,Brownsville,39.9,Brooklyn,86468,60.1,42.1,10.23,97.4
16,BK 17,East Flatbush,13.7,Brooklyn,155252,56.43,27.67,10.5,97.3
17,BK 18,Flatlands/Canarsie,8.9,Brooklyn,193543,52.07,22.4,25.67,77.3
18,BX 01,Mott Haven/Melrose,44.2,Bronx,91497,55.25,54.9,6.1,98.0
19,BX 02,Hunts Point/Longwood,44.2,Bronx,52246,66.85,47.5,10.7,98.0
20,BX 03,Morrisania/Crotona,35.8,Bronx,79762,60.6,51.23,7.37,96.0
21,BX 04,Highbridge/Concourse,36.4,Bronx,146441,60.97,42.17,7.6,98.0
22,BX 05,Fordham/University Heights,36.4,Bronx,128200,64.53,39.43,10.33,98.9
23,BX 06,Belmont/East Tremont,35.8,Bronx,83268,70.3,43.8,10.8,96.0
24,BX 07,Kingsbridge Heights/Bedford,32.9,Bronx,139286,63.57,31.87,12.17,94.2
25,BX 08,Riverdale/Fieldston,18.5,Bronx,101731,47.0,23.8,27.33,67.7
26,BX 09,Parkchester/Soundview,24.7,Bronx,172298,54.78,34.4,13.98,97.1
27,BX 10,Throgs Neck/Co-op City,10.2,Bronx,120392,47.23,32.73,21.73,72.5
28,BX 11,Morris Park/Bronxdale,16.4,Bronx,113232,53.88,29.15,19.0,78.3
29,BX 12,Williamsbridge/Baychester,14.6,Bronx,152344,60.4,28.22,18.37,93.7
30,MN 01,Financial District,8.8,Manhattan,60978,39.9,6.7,85.1,27.8
31,MN 02,Greenwich Village/Soho,8.8,Manhattan,90016,41.9,15.2,62.85,27.8
32,MN 03,Lower East Side/Chinatown,27.3,Manhattan,163277,50.97,37.43,31.93,66.7
33,MN 04,Clinton/Chelsea,13.8,Manhattan,103245,43.55,18.55,57.75,40.9
34,MN 05,Midtown,13.8,Manhattan,51673,40.3,13.2,67.5,40.9
35,MN 06,Stuyvesant Town/Turtle Bay,8.0,Manhattan,142745,41.6,7.32,71.28,30.3
36,MN 07,Upper West Side,9.9,Manhattan,209084,40.05,17.2,58.3,32.0
37,MN 08,Upper East Side,6.1,Manhattan,219920,40.4,7.77,70.93,24.7
38,MN 09,Morningside Heights/Hamilton,22.7,Manhattan,110193,54.83,34.93,25.43,72.4
39,MN 10,Central Harlem,23.5,Manhattan,115723,48.8,43.25,16.6,85.8
40,MN 11,East Harlem,31.5,Manhattan,120511,48.25,45.3,16.85,86.3
41,MN 12,Washington Heights/Inwood,18.7,Manhattan,190020,52.83,31.03,17.87,81.1
42,QN 01,Astoria,13.0,Queens,191105,47.66,22.16,34.46,51.7
43,QN 02,Woodside/Sunnyside,9.3,Queens,113200,54.1,13.7,34.37,71.1
44,QN 03,Jackson Heights,13.5,Queens,171576,59.33,16.7,34.53,89.6
45,QN 04,Elmhurst/Corona,15.6,Queens,172598,60.35,17.4,31.05,93.8
46,QN 05,Ridgewood/Maspeth,8.4,Queens,169190,51.18,15.28,26.0,48.3
47,QN 06,Rego Park/Forest Hills,8.1,Queens,113257,54.6,13.9,35.2,52.3
48,QN 07,Flushing/Whitestone,16.2,Queens,247354,57.07,13.3,42.74,74.6
49,QN 08,Hillcrest/Fresh Meadows,12.3,Queens,151107,52.16,19.26,29.86,70.1
50,QN 09,Kew Gardens/Woodhaven,12.2,Queens,143317,54.87,14.77,28.27,82.0
51,QN 10,South Ozone Park/Howard Beach,10.4,Queens,122396,55.33,16.3,31.4,78.5
52,QN 11,Bayside/Little Neck,9.8,Queens,116431,54.88,11.48,50.15,60.6
53,QN 12,Jamaica/Hollis,11.3,Queens,225919,56.62,27.63,22.3,98.2
54,QN 13,Queens Village,8.9,Queens,188593,52.47,11.99,42.0,89.1
55,QN 14,Rockaway/Broad Channel,19.8,Queens,114978,52.47,34.83,17.07,65.8
56,SI 01,St. George/Stapleton,17.9,Staten Island,175756,56.3,28.09,25.24,62.3
57,SI 02,South Beach/Willowbrook,10.2,Staten Island,132003,53.66,29.46,22.52,33.9
58,SI 03,Tottenville/Great Kills,6.6,Staten Island,160209,46.12,19.72,31.87,17.1
