,borough_and_district_#,%_asian,%_black,%_hispanic,%_white,%_poverty,#_total_students,%_students_in_temporary_housing,#_students_residing_in_shelter,borough
0,Bronx 07,1.1,26.6,69.87,1.42,91.76,458.76,18.0,34.31,Bronx
1,Bronx 08,5.04,24.28,64.12,5.17,81.42,508.66,14.73,31.05,Bronx
2,Bronx 09,1.5,28.6,67.84,1.24,90.82,515.24,21.07,43.58,Bronx
3,Bronx 10,4.41,17.52,72.22,4.41,85.26,644.69,18.66,28.36,Bronx
4,Bronx 11,6.76,40.91,42.18,8.06,78.04,643.3,11.88,25.68,Bronx
5,Bronx 12,2.3,26.61,68.44,1.35,90.7,462.36,18.66,41.06,Bronx
6,Bronx 75,2.26,36.01,56.0,4.25,79.97,459.75,11.38,36.06,Bronx
7,Bronx 79,0.98,56.1,34.54,6.92,96.78,242.0,12.0,17.0,Bronx
8,Brooklyn 13,6.81,61.34,20.14,8.96,75.43,491.4,10.53,14.82,Brooklyn
9,Brooklyn 14,3.76,22.68,60.15,11.68,73.81,471.34,11.78,16.44,Brooklyn
10,Brooklyn 15,12.1,19.45,37.77,27.44,57.7,654.96,5.71,8.77,Brooklyn
11,Brooklyn 16,2.04,74.45,19.45,2.36,85.48,265.81,17.63,25.04,Brooklyn
12,Brooklyn 17,2.84,76.37,15.52,2.93,83.23,450.79,14.52,24.94,Brooklyn
13,Brooklyn 18,1.43,86.59,8.04,2.4,79.7,444.7,10.08,18.19,Brooklyn
14,Brooklyn 19,5.66,49.28,41.63,1.72,87.72,458.37,15.21,30.73,Brooklyn
15,Brooklyn 20,43.17,2.63,26.36,26.87,74.51,1188.77,5.28,2.77,Brooklyn
16,Brooklyn 21,23.03,16.55,27.9,30.95,73.41,872.23,6.45,7.82,Brooklyn
17,Brooklyn 22,15.87,38.34,16.29,27.47,70.12,840.16,8.3,10.95,Brooklyn
18,Brooklyn 23,1.15,75.61,20.35,1.27,89.86,322.77,18.81,38.84,Brooklyn
19,Brooklyn 32,1.83,17.53,77.91,2.1,88.6,411.07,15.31,21.0,Brooklyn
20,Brooklyn 75,7.23,49.0,26.68,14.9,73.84,324.9,7.81,17.67,Brooklyn
21,Manhattan 01,15.6,19.25,48.54,14.13,70.97,389.0,14.81,18.35,Manhattan
22,Manhattan 02,18.3,17.3,35.66,24.55,55.41,534.99,8.07,11.49,Manhattan
23,Manhattan 03,5.92,27.97,37.93,24.23,58.3,497.32,10.74,16.26,Manhattan
24,Manhattan 04,6.27,25.52,60.65,5.01,81.23,403.18,16.65,22.85,Manhattan
25,Manhattan 05,3.54,49.84,39.46,4.69,84.2,392.06,18.58,33.84,Manhattan
26,Manhattan 06,1.26,6.64,86.1,5.09,84.91,471.0,17.5,13.06,Manhattan
27,Manhattan 75,5.21,33.39,48.44,11.16,74.41,290.0,11.92,19.0,Manhattan
28,Manhattan 79,4.15,40.03,42.68,10.7,66.83,620.67,19.33,22.67,Manhattan
29,Queens 24,17.63,3.0,63.4,14.79,74.92,1038.87,7.78,8.52,Queens
30,Queens 25,47.15,8.49,28.04,14.62,67.99,835.84,4.9,3.49,Queens
31,Queens 26,52.98,9.93,15.75,18.77,51.57,967.94,2.71,1.91,Queens
32,Queens 27,18.24,28.94,37.32,10.51,76.88,709.53,6.48,12.73,Queens
33,Queens 28,27.51,28.67,25.15,12.97,70.29,834.81,7.09,12.42,Queens
34,Queens 29,11.13,70.68,12.95,1.59,74.93,594.43,9.29,17.55,Queens
35,Queens 30,21.19,7.95,52.11,16.58,70.26,833.86,8.1,9.04,Queens
36,Queens 75,16.31,30.02,34.06,16.13,66.5,438.47,5.0,13.82,Queens
37,Queens 79,7.37,46.72,37.3,6.3,55.22,3857.5,15.5,219.0,Queens
38,Staten Island 31,8.62,14.19,30.52,44.4,58.77,847.14,4.88,8.84,Staten Island
39,Staten Island 75,4.52,24.69,30.56,38.1,73.74,302.71,2.86,8.43,Staten Island
